Time,month (30 day),,decade,,3/365,0
Time,month (30 day),,fortnight,,15/7,0
Time,month (30 day),,hour,,720,0
Time,month (30 day),,leap-year,,5/61,0
Time,month (30 day),,millennium,,3/36500,0
Time,month (30 day),,millisecond,,2592000000,0
Time,month (30 day),,minute,',43200,0
Time,month (30 day),,nanosecond,,2592000000000000,0
Time,month (30 day),,score,,3/730,0
Time,month (30 day),,second,''',2592000,0
Time,month (30 day),,week,,30/7,0
Time,month (30 day),,year,,6/73,0
Time,month,,century,,0.000833333333333333,0
Time,month,,decade,,0.00833333333333333,0
Time,month,,leap-year,,0.0833333333333333,0
Time,month,,millennium,,0.0000833333333333333,0
Time,month,,score,,0.00416666666666666,0
Time,month,,year,,0.0833333333333333,0
Time,nanosecond,,century,,3.170979198E-19,0
Time,nanosecond,,day,,1.157407407E-14,0
Time,nanosecond,,decade,,3.170979198E-18,0
Time,nanosecond,,fortnight,,8.267195767E-16,0
Time,nanosecond,,hour,,2.777777778E-13,0
Time,nanosecond,,leap-year,,3.162315321E-17,0
Time,nanosecond,,millennium,,3.170979198E-20,0
Time,nanosecond,,millisecond,,0.000001,0
Time,nanosecond,,minute,',1.666666667E-11,0
Time,nanosecond,,month (30 day),,3.858024691E-16,0
Time,nanosecond,,score,,1.585489599E-18,0
Time,nanosecond,,second,''',0.000000001,0
Time,nanosecond,,week,,1.653439153E-16,0
Time,nanosecond,,year,,3.170979198E-17,0
Time,score,,century,,0.2,0
Time,score,,day,,7300,0
Time,score,,decade,,2,0
Time,score,,fortnight,,521.4285714,0
Time,score,,hour,,175200,0
Time,score,,leap-year,,19.945355192,0
Time,score,,millennium,,0.02,0
Time,score,,millisecond,,630720000000,0
Time,score,,minute,',10512000,0
Time,score,,month (30 day),,243.3333334,0
Time,score,,month,,240,0
Time,score,,nanosecond,,630720000000000000,0
Time,score,,second,''',630720000,0
Time,score,,week,,1042.8571428,0
Time,score,,year,,20,0
Time,second,''',century,,1/3153600000,0
Time,second,''',day,,1/86400,0
Time,second,''',decade,,1/315360000,0
Time,second,''',fortnight,,1/1209600,0
Time,second,''',hour,,1/3600,0
Time,second,''',leap-year,,1/31622400,0
Time,second,''',millennium,,31536000000,0
Time,second,''',millisecond,,1000,0
Time,second,''',minute,',1/60,0
Time,second,''',month (30 day),,1/2592000,0
